Name;Country;Genre;YearOfProduction;LengthOfFilm;Translation;Subtitles;OriginalAudio;Director;Cast;Description;QualityOfVideo;FormatOfVideo;Video;Audio;PosterUrl
Обезьяны / Monos;Колумбия, Аргентина, Нидерланды, Германия, Швеция, Уругвай, США, Швейцария, Дания;триллер, драма;2019;01:42:35;Авторский (одноголосый закадровый) - Ю.Немахов;нет;нет;Алехандро Ландес / Alejandro Landes;София Буэнавентура, Джулиан Хиральдо, Карен Кинтеро, Лаура Кастрильон, Дейби Руэда, Пол Кубидес, Снейдер Кастро, Мойзес Ариас, Джулианна Николсон, Уилсон Салазар;Сюжет картины переносит нас в северную Колумбию, где происходят по-настоящему ужасные события. Группа молодых людей стараются выжить в непростых условиях. Однажды ребята решают захватить заложника и потребовать за его жизнь выкуп. Героям кажется, что это просто веселая игра, и в их действиях совершенно нет ничего плохого. Постепенно вчерашние мальчики и девочки полностью теряют контроль над своим разумом и превращаются в жестоких зверей.;BDRip | Monos.2019.BDRemux.TeamHD;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1575 kbps avg, 0.30 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~448 kbps;https://b.radikal.ru/b31/2001/0e/1e7757b09b1e.jpg
Вивариум / Vivarium;Ирландия, Дания, Бельгия;фантастика, детектив;2019;01:38:34;;русские (forced);нет;Лоркан Финнеган / Lorcan Finnegan;Имоджен Путс, Даниэль Райан, Молли Макканн, Джесси Айзенберг, Джонатан Арис, Сенан Дженнингс, Инна Хардвик, Ольга Верли, Джек Хадсон, Майкл Макгьюн, Марк Куигли;В поисках идеального дома молодая пара знакомится со странным агентом по недвижимости. Он привозит их в новый поселок в пригороде, а затем исчезает. Том и Джемма с ужасом понимают, что они абсолютно одни в этом жутковато-стерильном лабиринте одинаковых домов и что из него нет выхода. Вскоре их одиночество будет прервано появлением у дверей коробки с младенцем, который похож на человека лишь внешне…;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1722 kbps avg, 0.33 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://a.radikal.ru/a31/2003/60/ac4284f2271d.jpg
Тело Христово / Boze Cialo;Польша;драма;2019;01:54:59;;нет;нет;Ян Комаса / Jan Komasa;Бартош Беленя, Александра Конечна, Элиза Рыцембель, Томаш Зетэк, Барбара Кужай, Лешек Лихота, Здзисвав Вардейн, Лукаш Симлат, Анна Берначик, Лидия Богач;20-летний Даниэль, переживший в заключении духовное перерождение, мечтает посвятить себя служению богу, однако судимость за плечами этому препятствует. Воспользовавшись случаем, он выдает себя за выпускника семинарии и занимает место заболевшего пастора в приходе небольшого провинциального городка. Зачастую импровизируя и замещая недостаток знаний в литургии искренностью и неподдельной страстью, он невольно становится центром притяжения и умиротворения для местной паствы, расколотой и разобщенной вследствие недавней трагедии. Но ни одно доброе дело не остается безнаказанным.;;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1421 kbps avg, 0.27 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b08/2002/6c/0916209d71ca.jpg
Переводчики / Les traducteurs;Франция, Бельгия;триллер;2019;01:45:00;;нет;нет;Режис Руансар / Régis Roinsard;;Девять переводчиков работают в секретном бункере над последней частью самого нашумевшего бестселлера. Их изолировали, чтобы не допустить утечки ожидаемой новинки в интернет. Но она все-таки произошла...;BDRip | Les.Traducteurs.2019.BDREMUX.1080p.seleZen;AVI;720x304 (2.37:1), 24.000 fps, XviD build 73 ~1596 kbps avg, 0.30 bit/pixel;48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps;https://b.radikal.ru/b36/2006/16/ebf4cbf8d964.png
Кошки / Cats;Великобритания, США;мюзикл, фэнтези, драма, комедия;2019;01:49:57;;русские (forced, full), английские;английский;Том Хупер / Tom Hooper;Тейлор Свифт, Франческа Хэйуорд, Идрис Эльба, Джуди Денч, Иэн МакКеллен, Ребел Уилсон, Джеймс Корден, Метте Таули, Рэй Уинстон, Лори Дэвидсон, Роберт Фэйрчайлд, Дженнифер Хадсон;На ежегодный кошачий бал собираются кошки из Племени избранных из разных уголков земли. Все они разные: породистые и беспородные, юные и старые, домашние любимцы и бездомные. Когда они собираются вместе, каждая кошка рассказывает о себе - чем же она так исключительна, и за что её можно считать избранной.;;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1993 kbps avg, 0.38 bit/pixel;;https://c.radikal.ru/c27/2003/56/d7e34a270b5b.jpg
Того / Togo;США;драма;2019;01:53:00;"Любительский (многоголосый закадровый) | <span class=""post-b""><span class=""p-color"" style=""color: darkblue;"">HDRezka Studio</span></span><br/><span class=""post-b"">Субтитры</span>: русские (forced), английские (full, SDH)<br/><span class=""post-b"">Оригинальная аудиодорожка</span>: английский<br/><span class=""post-b"">Режиссер</span>:<br/>Эриксон Кор / Ericson Core<br/><span class=""post-b"">В ролях</span>:<br/>Уиллем Дефо, Джулианна Николсон, Кристофер Хейердал, Ричард Дормер, Эдриан Дорваль, Madeline Wickins, Майкл Грейес, Нив Нилсен, Николай Николаефф, Торбьорн Харр<br/><span class=""post-b"">Описание</span>: Пёс Того в 1928 году помог предотвратить эпидемию дифтерии в городе Ном, Аляска. В упряжке с другими ездовыми собаками Того, несмотря на страшные погодные условия, смог доставить в город посылку с антитоксином, остановившим распространение болезни.<br/><br/><span class=""post-b"">Качество видео</span>: WEB-DLRip<br/><span class=""post-b"">Формат видео</span>: AVI<span class=""post-br""><br/></span><span class=""post-b"">Видео</span>: 704x352 (2.00:1), 23.976 fps, XviD build 73 ~1984 kbps avg, 0.33 bit/pixel<br/><span class=""post-b"">Аудио 1</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkblue;"">RUS</span></span><br/><span class=""post-b"">Аудио 2</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | ENG";русские (forced), английские (full, SDH);английский;Эриксон Кор / Ericson Core;;Пёс Того в 1928 году помог предотвратить эпидемию дифтерии в городе Ном, Аляска. В упряжке с другими ездовыми собаками Того, несмотря на страшные погодные условия, смог доставить в город посылку с антитоксином, остановившим распространение болезни.;;AVI;704x352 (2.00:1), 23.976 fps, XviD build 73 ~1984 kbps avg, 0.33 bit/pixel;;https://c.radikal.ru/c05/1912/54/94b419b334f6.jpg
1917 / 1917;Великобритания, США;военный, история, драма;2019;01:58:58;;русские (forced, full), английские (full, SDH);английский;Сэм Мендес / Sam Mendes;Эндрю Скотт, Бенедикт Камбербэтч, Колин Фёрт, Ричард Мэдден, Дин-Чарльз Чепмен, Джордж МакКэй, Марк Стронг, Дэниэл Мейс, Эдриан Скарборо, Крис Уолли, Пип Картер, Энди Аполло, Пол Тинто, Джозеф Дэвис, Билли Постлтуэйт, Гэбриел Акувудике;1917 год, разгар Первой мировой войны. Двум юным солдатам поручают смертельно опасную миссию. Они должны пересечь вражескую территорию и доставить секретное сообщение, которое предотвратит неминуемую гибель сотен солдат… Смогут ли они выиграть гонку со временем?;BDRip | 1917.2019.1080p.BluRay.REMUX.AVC.Atmos.TrueHD7.1-iFT;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1846 kbps avg, 0.35 bit/pixel;;https://a.radikal.ru/a13/2003/fd/a098c7383013.png
Джентльмены / The Gentlemen;США;боевик, комедия, криминал;2019;01:53:40;;русские (forced, full), английские (full, SDH);английский;Гай Ричи / Guy Ritchie;;Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха.;BDRip | The.Gentlemen.2020.BDREMUX.1080p.seleZen;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~1901 kbps avg, 0.36 bit/pixel;;https://b.radikal.ru/b30/2004/5d/6943ce22e819.png
Звёздные войны: Скайуокер. Восход / Star Wars: Episode IX - The Rise of Skywalker;США;фантастика, фэнтези, боевик, приключения;2019;02:21:52;;русские, английские;английский;Джей Джей Абрамс / J.J. Abrams;Дэйзи Ридли, Адам Драйвер, Кэрри Фишер, Марк Хэмилл, Джон Бойега, Оскар Айзек, Энтони Дэниелс, Наоми Аки, Донал Глисон, Ричард Э. Грант, Лупита Нионго, Кери Рассел, Йонас Суотамо, Келли Мари Трэн, Иен Макдермид, Билли Ди Уильямс;Фильм завершает невероятную историю семьи Скайуокеров, длящуюся уже более сорока лет, и обещает дать ответы на все загадки из предыдущих серий. Зрителя ожидают старые и новые герои, уникальные миры, увлекательные путешествия на край Галактики и грандиозный финал фантастической саги.;BDRip | Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.1080p.BluRay.REMUX.AVC.DTS-HD.MA.7.1-FGT;AVI;720x304 (2.37:1), 23.976 fps, XviD build 73 ~2095 kbps avg, 0.40 bit/pixel;;https://c.radikal.ru/c05/2003/5e/34c2a365c171.jpg
Кролик Джоджо / Jojo Rabbit;Чехия, США, Новая Зеландия;драма, комедия, военный;2019;01:48:23;"Профессиональный (многоголосый закадровый) | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">Good People</span></span><br/><span class=""post-b"">Субтитры</span>: русские, английские<br/><span class=""post-b"">Оригинальная аудиодорожка</span>: английский<br/><span class=""post-b"">Режиссер</span>: Тайка Вайтити / Taika Waititi<br/><span class=""post-b"">В ролях</span>: Роман Гриффин Дэвис, Томасин МакКензи, Скарлетт Йоханссон, Тайка Вайтити, Сэм Рокуэлл, Ребел Уилсон, Алфи Аллен, Стивен Мерчант, Арчи Йейтс, Люк Шуфилд, Станислав Каллас, Джо Вайнтрауб, Брайан Каспе, Гэбриел Эндрюс, Кертис Мэттью, Роберт Ист<br/><span class=""post-b"">Описание</span>: Неловкий и нескладный 10-летний немецкий мальчик, потерявший отца, пытается найти своё место в непривычном мире. Ровесники лишь потешаются над ним, а мама считает, что ребёнок сам придумывает себе проблемы. В надежде получить замену пропавшего отца мальчик придумывает себе воображаемого друга — Адольфа Гитлера, который совсем не похож на знакомого всем фюрера Третьего рейха. Ситуация только осложняется, когда мальчик обнаруживает, что его мать прячет в доме еврейскую девочку.<br/><br/><span class=""post-b"">Качество видео</span>: WEB-DLRip<br/><span class=""post-b"">Формат видео</span>: AVI<span class=""post-br""><br/></span><span class=""post-b"">Видео</span>: 704x384 (1.83:1), 23.976 fps, XviD build 73 ~2098 kbps avg, 0.32 bit/pixel<br/><span class=""post-b"">Аудио 1</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | <span class=""post-b""><span class=""p-color"" style=""color: darkgreen;"">RUS</span></span><br/><span class=""post-b"">Аудио 2</span>: 48 kHz, AC3 Dolby Digital, 3/2 (L,C,R,l,r) + LFE ch, ~384 kbps | ENG";русские, английские;английский;;Роман Гриффин Дэвис, Томасин МакКензи, Скарлетт Йоханссон, Тайка Вайтити, Сэм Рокуэлл, Ребел Уилсон, Алфи Аллен, Стивен Мерчант, Арчи Йейтс, Люк Шуфилд, Станислав Каллас, Джо Вайнтрауб, Брайан Каспе, Гэбриел Эндрюс, Кертис Мэттью, Роберт Ист;Неловкий и нескладный 10-летний немецкий мальчик, потерявший отца, пытается найти своё место в непривычном мире. Ровесники лишь потешаются над ним, а мама считает, что ребёнок сам придумывает себе проблемы. В надежде получить замену пропавшего отца мальчик придумывает себе воображаемого друга — Адольфа Гитлера, который совсем не похож на знакомого всем фюрера Третьего рейха. Ситуация только осложняется, когда мальчик обнаруживает, что его мать прячет в доме еврейскую девочку.;;AVI;704x384 (1.83:1), 23.976 fps, XviD build 73 ~2098 kbps avg, 0.32 bit/pixel;;https://d.radikal.ru/d11/2005/d7/69b4356f5216.jpg
